animal_id,name,sex_upon_outcome,sex,spay/neuter,Periods,period_range,outcome_age,cat/kitten,age_group,breed1,cfa_breed,domestic_breed,coat_pattern,color1,color2,coat,outcome
A673438,0,Unknown,Female,Yes,2,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- SCRP
A669140,1,Intact Male,Male,No,1,30,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- Partner
A669576,0,Intact Female,Female,No,8,365,6,Cat,"(6.6, 8.8]",domestic shorthair,False,True,tabby,brown ,white,brown ,Euthanasia-- Suffering
A685582,0,Intact Female,Female,No,3,7,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
A684998,1,Neutered Male,Male,Yes,10,365,6,Cat,"(8.8, 11.0]",domestic shorthair,False,True,missing,black,white,black,Adoption-- 
A664486,1,Intact Female,Female,No,2,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- Partner
A689192,0,Intact Male,Male,No,3,7,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,blue ,white,blue ,Euthanasia-- Suffering
A665019,1,Spayed Female,Female,Yes,8,365,6,Cat,"(6.6, 8.8]",domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Adoption-- 
A684110,0,Intact Female,Female,No,4,7,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,orange ,white,orange ,Euthanasia-- Suffering
A677014,1,Spayed Female,Female,Yes,3,365,4,Cat,"(2.2, 4.4]",domestic shorthair,False,True,missing,blue,white,blue,Transfer-- Partner
A677959,0,Spayed Female,Female,Yes,3,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,blue,none,blue,Adoption-- Foster
A680473,1,Spayed Female,Female,Yes,2,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- Foster
A690900,1,Spayed Female,Female,Yes,2,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,orange ,white,orange ,Adoption-- 
A664437,0,Intact Male,Male,No,5,30,2,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,orange ,white,orange ,Transfer-- SCRP
A683956,0,Neutered Male,Male,Yes,3,365,4,Cat,"(2.2, 4.4]",domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- 
A690029,0,Unknown,Female,Yes,3,365,4,Cat,"(2.2, 4.4]",domestic shorthair,False,True,tabby,silver,none,silver,Transfer-- SCRP
A678260,0,Intact Female,Female,No,15,365,7,Cat,"(13.2, 15.4]",domestic shorthair,False,True,tabby,blue,none,blue,Transfer-- Partner
A672918,1,Spayed Female,Female,Yes,1,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
A681990,0,Intact Female,Female,No,3,7,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
A683735,0,Intact Female,Female,No,4,7,1,Kitten,"(-0.022, 2.2]",domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
A685607,0,Intact Female,Female,No,2,7,1,Kitten,"(-0.022, 2.2]",siamese,True,False,point,flame,none,flame,Transfer-- Partner
A679736,0,Intact Female,Female,No,10,30,3,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- SCRP
A671106,0,Unknown,Female,Yes,10,30,3,Cat,"(-0.022, 2.2]",domestic longhair,False,True,missing,black,none,black,Transfer-- SCRP
A678573,1,Neutered Male,Male,Yes,11,30,3,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,orange ,white,orange ,Adoption-- 
A626164,1,Neutered Male,Male,Yes,1,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,missing,black,none,black,Adoption-- 
A669753,1,Unknown,Female,Yes,1,365,4,Cat,"(-0.022, 2.2]",domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
