age_upon_outcome,name,sex_upon_outcome,sex,spay/neuter,Periods,period_range,cat/kitten,age_group,outcome_weekday,breed1,cfa_breed,domestic_breed,coat_pattern,color1,color2,coat,outcome
6 days,0,Unknown,Female,Yes,6,1,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
2 years,0,Neutered Male,Male,Yes,2,365,Cat,"(-0.022, 2.2]",Tuesday,domestic longhair,False,True,tabby,blue ,white,blue ,Transfer-- SCRP
4 weeks,0,Unknown,Female,Yes,4,7,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,black,none,black,Euthanasia-- Suffering
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic mediumhair,False,True,missing,blue,white,blue,Adoption-- 
2 months,1,Intact Female,Female,No,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tortie,Breed Specific,blue cream,tortie,Adoption-- 
3 months,0,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic mediumhair,False,True,missing,black,none,black,Adoption-- 
3 months,1,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,orange ,white,orange ,Adoption-- 
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,calico,Breed Specific,none,calico,Adoption-- Foster
1 year,0,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- SCRP
3 weeks,0,Intact Female,Female,No,3,7,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Transfer-- Partner
1 weeks,0,Unknown,Female,Yes,1,7,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,calico,Breed Specific,none,calico,Transfer-- Partner
2 weeks,0,Intact Female,Female,No,2,7,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Transfer-- Partner
3 months,0,Intact Female,Female,No,3,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- SCRP
6 months,1,Neutered Male,Male,Yes,6,30,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- 
3 months,0,Intact Male,Male,No,3,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,black,none,black,Transfer-- SCRP
8 years,0,Neutered Male,Male,Yes,8,365,Cat,"(6.6, 8.8]",Thursday,domestic shorthair,False,True,missing,black,none,black,Euthanasia-- Suffering
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
1 year,1,Neutered Male,Male,Yes,1,365,Cat,"(-0.022, 2.2]",Wednesday,domestic mediumhair,False,True,tabby,brown,none,brown,Transfer-- Partner
4 weeks,0,Intact Male,Male,No,4,7,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
5 months,1,Neutered Male,Male,Yes,5,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- 
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,cream,none,cream,Adoption-- Foster
1 year,1,Neutered Male,Male,Yes,1,365,Cat,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,cream,none,cream,Transfer-- SCRP
3 months,1,Intact Female,Female,No,3,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,black,white,black,Died-- In Foster
4 months,1,Spayed Female,Female,Yes,4,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,calico,Breed Specific,none,calico,Adoption-- 
1 month,1,Intact Female,Female,No,1,30,Kitten,"(-0.022, 2.2]",Friday,american shorthair,True,False,calico,Breed Specific,none,calico,Transfer-- Partner
2 months,0,Intact Male,Male,No,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,cream,none,cream,Transfer-- Partner
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Adoption-- 
1 month,1,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- Partner
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- Foster
1 weeks,0,Intact Female,Female,No,1,7,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,smoke,black,none,black,Transfer-- Partner
1 weeks,0,Intact Male,Male,No,1,7,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,blue,none,blue,Transfer-- Partner
4 months,1,Neutered Male,Male,Yes,4,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- Foster
3 years,0,Unknown,Female,Yes,3,365,Cat,"(2.2, 4.4]",Saturday,siamese,True,False,missing,white,brown,white,Euthanasia-- Suffering
5 months,0,Spayed Female,Female,Yes,5,30,Kitten,"(-0.022, 2.2]",Saturday,domestic mediumhair,False,True,torbie,Breed Specific,none,torbie,Adoption-- 
2 years,1,Spayed Female,Female,Yes,2,365,Cat,"(-0.022, 2.2]",Saturday,domestic mediumhair,False,True,torbie,Breed Specific,none,torbie,Adoption-- 
1 year,0,Intact Male,Male,No,1,365,Cat,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,white,orange,white,Transfer-- Snr
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,black,none,black,Adoption-- Foster
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,calico,Breed Specific,none,calico,Adoption-- 
6 months,0,Neutered Male,Male,Yes,6,30,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
2 months,0,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- Foster
3 weeks,0,Intact Female,Female,No,3,7,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- Partner
1 year,1,Neutered Male,Male,Yes,1,365,Cat,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
2 weeks,0,Unknown,Female,Yes,2,7,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
2 years,1,Spayed Female,Female,Yes,2,365,Cat,"(-0.022, 2.2]",Saturday,domestic mediumhair,False,True,tortie,Breed Specific,none,tortie,Adoption-- 
10 years,0,Neutered Male,Male,Yes,10,365,Cat,"(8.8, 11.0]",Wednesday,domestic shorthair,False,True,tabby,brown ,white,brown ,Euthanasia-- Suffering
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,brown ,white,brown ,Adoption-- 
1 year,0,Intact Male,Male,No,1,365,Cat,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- SCRP
4 months,1,Neutered Male,Male,Yes,4,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
3 months,1,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,blue,white,blue,Adoption-- 
1 year,1,Neutered Male,Male,Yes,1,365,Cat,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,cream,none,cream,Adoption-- Foster
3 months,1,Spayed Female,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Friday,domestic mediumhair,False,True,missing,black,none,black,Adoption-- Foster
3 months,0,Intact Male,Male,No,3,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Snr
1 month,1,Intact Female,Female,No,1,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
1 month,1,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Thursday,domestic mediumhair,False,True,tabby,brown ,white,brown ,Transfer-- Partner
1 year,0,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Friday,american shorthair,True,False,missing,black,black,black,Transfer-- Snr
2 weeks,0,Intact Male,Male,No,2,7,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,black,none,black,Transfer-- Partner
3 days,0,Unknown,Female,Yes,3,1,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,gray,none,gray,Transfer-- Partner
3 weeks,0,Intact Male,Male,No,3,7,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,white,brown,white,Euthanasia-- Suffering
1 year,0,Intact Male,Male,No,1,365,Cat,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,black,white,black,Transfer-- SCRP
2 months,1,Intact Female,Female,No,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,calico,Breed Specific,none,calico,Adoption-- 
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Sunday,maine coon,True,False,tabby,brown,none,brown,Adoption-- Foster
6 months,1,Neutered Male,Male,Yes,6,30,Cat,"(-0.022, 2.2]",Monday,domestic mediumhair,False,True,tabby,orange,none,orange,Adoption-- 
3 years,1,Spayed Female,Female,Yes,3,365,Cat,"(2.2, 4.4]",Sunday,domestic shorthair,False,True,tabby,brown ,white,brown ,Adoption-- 
2 months,0,Intact Female,Female,No,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,blue,none,blue,Transfer-- Partner
1 month,0,Unknown,Female,Yes,1,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,black,none,black,Euthanasia-- Suffering
2 years,1,Neutered Male,Male,Yes,2,365,Cat,"(-0.022, 2.2]",Tuesday,siamese,True,False,point,lynx ,white,lynx ,Adoption-- 
1 year,0,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- SCRP
2 months,1,Intact Female,Female,No,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Transfer-- Partner
7 years,1,Neutered Male,Male,Yes,7,365,Cat,"(6.6, 8.8]",Thursday,american shorthair,True,False,missing,black,black,black,Adoption-- 
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic longhair,False,True,tabby,brown,none,brown,Adoption-- Foster
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Adoption-- Foster
2 months,0,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,white,none,white,Adoption-- 
4 months,1,Spayed Female,Female,Yes,4,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- 
3 months,1,Spayed Female,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Thursday,domestic longhair,False,True,tabby,brown,none,brown,Adoption-- 
3 days,0,Intact Male,Male,No,3,1,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,calico,Breed Specific,none,calico,Adoption-- Foster
3 months,1,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,blue,none,blue,Adoption-- 
1 year,0,Intact Female,Female,No,1,365,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- SCRP
1 year,0,Intact Male,Male,No,1,365,Cat,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,blue,white,blue,Transfer-- SCRP
4 weeks,0,Intact Male,Male,No,4,7,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- Partner
10 years,1,Spayed Female,Female,Yes,10,365,Cat,"(8.8, 11.0]",Friday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- Foster
3 years,1,Neutered Male,Male,Yes,3,365,Cat,"(2.2, 4.4]",Wednesday,domestic longhair,False,True,missing,blue,white,blue,Adoption-- 
3 months,1,Spayed Female,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- 
3 days,0,Unknown,Female,Yes,3,1,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,white,brown,white,Transfer-- Partner
3 weeks,0,Intact Female,Female,No,3,7,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,orange ,white,orange ,Transfer-- Partner
2 months,1,Intact Male,Male,No,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,blue,none,blue,Adoption-- 
1 year,1,Neutered Male,Male,Yes,1,365,Cat,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
1 year,0,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Wednesday,siamese,True,False,missing,white,black,white,Adoption-- 
0 years,0,Unknown,Female,Yes,0,365,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,blue,none,blue,Transfer-- Partner
4 days,0,Unknown,Female,Yes,4,1,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- Partner
4 months,1,Neutered Male,Male,Yes,4,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
2 months,1,Intact Female,Female,No,2,30,Kitten,"(-0.022, 2.2]",Monday,domestic mediumhair,False,True,tortie,Breed Specific,none,tortie,Adoption-- 
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,blue,none,blue,Adoption-- Foster
2 years,1,Neutered Male,Male,Yes,2,365,Cat,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
4 months,1,Spayed Female,Female,Yes,4,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,orange ,white,orange ,Adoption-- 
1 month,1,Neutered Male,Male,Yes,1,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,blue,white,blue,Adoption-- 
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
1 weeks,0,Unknown,Female,Yes,1,7,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,white,none,white,Transfer-- Partner
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
15 years,1,Spayed Female,Female,Yes,15,365,Cat,"(13.2, 15.4]",Tuesday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Return to Owner-- 
2 months,0,Intact Female,Female,No,2,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,calico,Breed Specific,none,calico,Missing-- In Kennel
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- Foster
2 months,1,Intact Female,Female,No,2,30,Kitten,"(-0.022, 2.2]",Monday,domestic longhair,False,True,missing,black,none,black,Adoption-- 
3 weeks,0,Intact Female,Female,No,3,7,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,black,none,black,Transfer-- Partner
3 years,0,Intact Female,Female,No,3,365,Cat,"(2.2, 4.4]",Friday,domestic mediumhair,False,True,tabby,blue ,white,blue ,Transfer-- SCRP
4 months,0,Neutered Male,Male,Yes,4,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- SCRP
3 weeks,0,Intact Male,Male,No,3,7,Kitten,"(-0.022, 2.2]",Friday,siamese,True,False,point,flame,none,flame,Transfer-- Partner
1 year,1,Neutered Male,Male,Yes,1,365,Cat,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,white,none,white,Adoption-- 
2 weeks,1,Intact Male,Male,No,2,7,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
6 years,1,Neutered Male,Male,Yes,6,365,Cat,"(4.4, 6.6]",Sunday,domestic shorthair,False,True,missing,white,black,white,Transfer-- Partner
1 year,0,Unknown,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- SCRP
2 years,0,Unknown,Female,Yes,2,365,Cat,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- SCRP
3 months,1,Spayed Female,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Adoption-- 
8 years,1,Spayed Female,Female,Yes,8,365,Cat,"(6.6, 8.8]",Wednesday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Euthanasia-- Suffering
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Adoption-- Foster
3 weeks,0,Unknown,Female,Yes,3,7,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,brown ,white,brown ,Transfer-- Partner
4 weeks,0,Intact Female,Female,No,4,7,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Transfer-- Partner
3 days,0,Intact Male,Male,No,3,1,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,black,none,black,Transfer-- Partner
3 months,1,Spayed Female,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
2 months,1,Intact Male,Male,No,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
7 years,0,Intact Female,Female,No,7,365,Cat,"(6.6, 8.8]",Friday,domestic shorthair,False,True,missing,black,none,black,Transfer-- SCRP
15 years,0,Spayed Female,Female,Yes,15,365,Cat,"(13.2, 15.4]",Wednesday,domestic shorthair,False,True,tortie,blue cream,none,blue cream,Transfer-- Partner
3 weeks,0,Unknown,Female,Yes,3,7,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,blue,white,blue,Transfer-- Partner
2 months,1,Intact Female,Female,No,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Transfer-- Partner
3 weeks,0,Intact Male,Male,No,3,7,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- Partner
3 months,0,Intact Female,Female,No,3,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Transfer-- SCRP
0 years,0,Intact Male,Male,No,0,365,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,orange,none,orange,Euthanasia-- Suffering
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,smoke,black ,white,black ,Adoption-- Foster
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,black,none,black,Adoption-- Foster
2 years,1,Spayed Female,Female,Yes,2,365,Cat,"(-0.022, 2.2]",Thursday,domestic mediumhair,False,True,tabby,brown,none,brown,Transfer-- Partner
11 years,1,Spayed Female,Female,Yes,11,365,Cat,"(8.8, 11.0]",Wednesday,domestic shorthair,False,True,missing,white,blue,white,Adoption-- 
2 months,1,Intact Male,Male,No,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- 
4 weeks,0,Intact Male,Male,No,4,7,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,blue,none,blue,Transfer-- Partner
3 years,1,Neutered Male,Male,Yes,3,365,Cat,"(2.2, 4.4]",Wednesday,domestic mediumhair,False,True,tabby,orange ,white,orange ,Adoption-- 
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,orange ,white,orange ,Adoption-- Foster
1 year,0,Neutered Male,Male,Yes,1,365,Cat,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,blue,white,blue,Transfer-- Snr
1 year,1,Intact Female,Female,No,1,365,Cat,"(-0.022, 2.2]",Monday,domestic longhair,False,True,tortie,Breed Specific,none,tortie,Transfer-- Partner
7 months,1,Spayed Female,Female,Yes,7,30,Cat,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,silver,none,silver,Adoption-- Foster
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Return to Owner-- 
2 weeks,0,Intact Male,Male,No,2,7,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
1 month,1,Intact Female,Female,No,1,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
3 months,1,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- Partner
1 year,0,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,blue,white,blue,Transfer-- SCRP
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,cream,none,cream,Adoption-- 
5 years,1,Neutered Male,Male,Yes,5,365,Cat,"(4.4, 6.6]",Friday,domestic shorthair,False,True,missing,black,white,black,Return to Owner-- 
14 years,1,Neutered Male,Male,Yes,14,365,Cat,"(13.2, 15.4]",Thursday,domestic longhair,False,True,missing,black,white,black,Return to Owner-- 
4 months,0,Intact Male,Male,No,4,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,orange ,white,orange ,Transfer-- SCRP
3 months,1,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- 
5 weeks,0,Intact Male,Male,No,5,7,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,white,blue,white,Euthanasia-- Suffering
6 years,1,Spayed Female,Female,Yes,6,365,Cat,"(4.4, 6.6]",Wednesday,siamese,True,False,calico,Breed Specific,none,calico,Transfer-- Partner
3 weeks,1,Intact Female,Female,No,3,7,Kitten,"(-0.022, 2.2]",Monday,domestic mediumhair,False,True,missing,white,orange,white,Died-- In Kennel
2 months,0,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,gray,none,gray,Adoption-- 
4 months,0,Intact Male,Male,No,4,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Snr
5 months,0,Intact Male,Male,No,5,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- SCRP
7 months,1,Spayed Female,Female,Yes,7,30,Cat,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- SCRP
8 years,1,Neutered Male,Male,Yes,8,365,Cat,"(6.6, 8.8]",Sunday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Adoption-- Foster
2 years,0,Neutered Male,Male,Yes,2,365,Cat,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- SCRP
5 months,0,Intact Male,Male,No,5,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,orange ,white,orange ,Transfer-- SCRP
2 months,0,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,black,none,black,Adoption-- 
5 days,0,Unknown,Female,Yes,5,1,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
1 year,0,Neutered Male,Male,Yes,1,365,Cat,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Snr
12 years,1,Neutered Male,Male,Yes,12,365,Cat,"(11.0, 13.2]",Saturday,domestic shorthair,False,True,tabby,gray ,white,gray ,Return to Owner-- 
4 months,0,Intact Female,Female,No,4,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,black,none,black,Transfer-- SCRP
5 years,1,Neutered Male,Male,Yes,5,365,Cat,"(4.4, 6.6]",Saturday,domestic shorthair,False,True,tabby,brown,none,brown,Return to Owner-- 
3 days,0,Unknown,Female,Yes,3,1,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,black ,white,black ,Transfer-- Partner
2 months,0,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- 
3 months,1,Spayed Female,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Adoption-- Offsite
10 years,1,Spayed Female,Female,Yes,10,365,Cat,"(8.8, 11.0]",Monday,domestic longhair,False,True,missing,black,none,black,Return to Owner-- 
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,blue,none,blue,Adoption-- 
1 year,0,Unknown,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,blue,none,blue,Transfer-- Snr
1 year,0,Unknown,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,black,none,black,Transfer-- SCRP
2 months,1,Intact Female,Female,No,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
