age_upon_outcome,name,sex_upon_outcome,sex,spay/neuter,Periods,period_range,cat/kitten,age_group,outcome_weekday,breed1,cfa_breed,domestic_breed,coat_pattern,color1,color2,coat,outcome
1 month,1,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Monday,domestic longhair,False,True,missing,blue,none,blue,Transfer-- Partner
4 months,0,Spayed Female,Female,Yes,4,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Adoption-- 
10 years,1,Spayed Female,Female,Yes,10,365,Cat,"(8.8, 11.0]",Friday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Adoption-- 
2 days,0,Intact Male,Male,No,2,1,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,point,flame,none,flame,Transfer-- Partner
2 months,0,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
2 months,0,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,orange ,white,orange ,Adoption-- 
6 months,1,Neutered Male,Male,Yes,6,30,Cat,"(-0.022, 2.2]",Sunday,domestic mediumhair,False,True,tabby,brown ,white,brown ,Adoption-- 
7 years,1,Neutered Male,Male,Yes,7,365,Cat,"(6.6, 8.8]",Saturday,domestic shorthair,False,True,missing,blue,white,blue,Transfer-- Partner
2 days,0,Intact Female,Female,No,2,1,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Transfer-- Partner
5 months,1,Neutered Male,Male,Yes,5,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,brown,none,brown,Return to Owner-- 
7 months,1,Spayed Female,Female,Yes,7,30,Cat,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Adoption-- 
3 years,0,Spayed Female,Female,Yes,3,365,Cat,"(2.2, 4.4]",Tuesday,siamese,True,False,tortie,Breed Specific,none,tortie,Died-- At Vet
