Rule,Entropy across targets,Length Following Antecedent,Majority Class
"[('Color', 'Orange Tabby')]",[1.05374793 1.543025  ],4515,['Adoption' 'none']
"[('Color', 'Black/Tan')]",[1.15783661 0.99080212],3186,['Adoption' 'none']
"[('Color', 'Black')]",[1.27122425 1.52628875],12907,['Adoption' 'none']
"[('Color', 'Brown/White')]",[1.21913385 1.08373718],4916,['Adoption' 'none']
"[('Color', 'White/Blue')]",[1.2567891 1.3988209],735,['Adoption' 'none']
"[('Color', 'Brown Tabby/White')]",[1.03936999 1.54705604],4787,['Adoption' 'none']
"[('Color', 'Gold')]",[1.22613722 1.11639134],208,['Return to Owner' 'none']
"[('Color', 'Torbie')]",[0.95689046 1.51799637],1919,['Adoption' 'none']
"[('Color', 'Brown Brindle')]",[1.22403342 1.09519287],1322,['Adoption' 'none']
"[('Color', 'Brown/Black')]",[1.42073799 1.31339649],2990,['Adoption' 'none']
"[('Color', 'Tricolor')]",[1.13263632 1.02241773],3248,['Adoption' 'none']
"[('Color', 'Black/Brown')]",[1.30946537 1.16824176],3264,['Adoption' 'none']
"[('Color', 'White')]",[1.29685493 1.14415778],5395,['Adoption' 'none']
"[('Color', 'Cream Tabby')]",[0.98721197 1.51661827],1165,['Adoption' 'none']
"[('Color', 'Brown/Brown')]",[1.18685841 1.04487763],228,['Euthanasia' 'Rabies Risk']
"[('Color', 'Orange Tabby/White')]",[1.03695066 1.48077656],2245,['Adoption' 'none']
"[('Color', 'Blue Tabby')]",[1.00160296 1.53827619],2500,['Adoption' 'none']
"[('Color', 'Tortie')]",[1.03153486 1.54182051],2822,['Adoption' 'none']
"[('Color', 'Gray Tabby')]",[1.11577909 1.48127275],426,['Transfer' 'Partner']
"[('Color', 'Calico/White')]",[0.99270622 1.57727804],191,['Adoption' 'none']
"[('Color', 'Tan/Black')]",[1.10432387 0.9905168 ],1438,['Adoption' 'none']
"[('Color', 'Brown Brindle/White')]",[1.17532755 1.00838149],2549,['Adoption' 'none']
"[('Color', 'Buff')]",[1.18464601 1.02936215],590,['Adoption' 'none']
"[('Color', 'Tan/White')]",[1.18105982 1.01962075],4394,['Adoption' 'none']
"[('Color', 'Chocolate/White')]",[1.12609801 1.02083574],1072,['Adoption' 'none']
"[('Color', 'Blue Tick')]",[0.94929582 1.00604413],138,['Adoption' 'none']
"[('Color', 'Gray/White')]",[1.49976376 1.39613204],715,['Adoption' 'none']
"[('Color', 'Black/Red')]",[1.17061244 0.85058346],109,['Adoption' 'none']
"[('Color', 'Red/White')]",[1.15957945 0.91901   ],1505,['Adoption' 'none']
"[('Color', 'Brown/Tan')]",[1.27465035 1.08158762],578,['Adoption' 'none']
"[('Color', 'Calico')]",[1.03739484 1.55198197],2710,['Adoption' 'none']
"[('Color', 'Gray')]",[1.51231157 1.80250907],827,['Euthanasia' 'none']
"[('Color', 'Silver Tabby')]",[0.94971871 1.51169785],126,['Adoption' 'none']
"[('Color', 'Torbie/White')]",[0.87531697 1.46210957],383,['Adoption' 'none']
"[('Color', 'Cream/Tan')]",[1.03346192 0.93771827],76,['Adoption' 'none']
"[('Color', 'Cream Tabby/White')]",[0.9680104  1.40146078],495,['Adoption' 'none']
"[('Color', 'Gray/Black')]",[1.15528108 1.60826039],521,['Euthanasia' 'Rabies Risk']
"[('Color', 'White/White')]",[1.35511434 1.01726863],158,['Adoption' 'none']
"[('Color', 'White/Gray')]",[1.4440135  1.39654404],599,['Adoption' 'none']
"[('Color', 'Chocolate')]",[1.23721994 1.07304579],616,['Adoption' 'none']
"[('Color', 'White/Brown')]",[1.2237886  1.10760037],2893,['Adoption' 'none']
"[('Color', 'Fawn/White')]",[1.16117689 0.86965488],666,['Adoption' 'none']
"[('Color', 'Fawn')]",[1.296916   1.00592327],312,['Adoption' 'none']
"[('Color', 'Cream/White')]",[1.13961913 1.06677718],288,['Adoption' 'none']
"[('Color', 'White/Tricolor')]",[1.11453792 1.04958517],346,['Adoption' 'none']
"[('Color', 'Blue Tabby/White')]",[0.93624911 1.44880303],1133,['Adoption' 'none']
"[('Color', 'Fawn/Black')]",[1.12646718 1.04168434],82,['Transfer' 'none']
"[('Color', 'White/Cream')]",[1.1095534  1.11586875],188,['Adoption' 'none']
"[('Color', 'Cream')]",[1.20703664 1.15393499],905,['Adoption' 'none']
"[('Color', 'Yellow')]",[1.21241002 0.97540576],716,['Adoption' 'none']
"[('Color', 'Lilac Point')]",[0.98587016 1.40057391],164,['Adoption' 'Partner']
"[('Color', 'White/Brown Tabby')]",[1.05719842 1.51643937],646,['Adoption' 'none']
"[('Color', 'Black Smoke')]",[0.93022022 1.32623228],224,['Adoption' 'none']
"[('Color', 'Black/Tricolor')]",[1.06096574 0.84972966],478,['Adoption' 'none']
"[('Color', 'White/Buff')]",[1.1426683  1.01118109],96,['Adoption' 'none']
"[('Color', 'Seal Point/White')]",[0.87716246 1.33273591],84,['Adoption' 'none']
"[('Color', 'Flame Point')]",[1.02916266 1.42514913],395,['Adoption' 'none']
"[('Color', 'Lynx Point')]",[1.03531056 1.52080068],813,['Adoption' 'none']
"[('Color', 'Black/Blue Tick')]",[0.88260558 0.57564742],51,['Adoption' 'none']
"[('Color', 'Gray Tabby/White')]",[1.14299238 1.64935431],196,['Transfer' 'none']
"[('Color', 'Calico Point')]",[1.14849528 1.46454374],61,['Adoption' 'none']
"[('Color', 'White/Tan')]",[1.16617362 1.04134318],2146,['Adoption' 'none']
"[('Color', 'Black Tabby')]",[1.00213698 1.41926229],249,['Transfer' 'Partner']
"[('Color', 'Sable')]",[1.1619398  1.16623123],676,['Adoption' 'none']
"[('Color', 'Sable/White')]",[1.07299571 1.2184437 ],317,['Adoption' 'none']
"[('Color', 'Chocolate/Tan')]",[1.09256269 0.91887015],307,['Adoption' 'none']
"[('Color', 'White/Orange Tabby')]",[1.0086595 1.4630124],228,['Adoption' 'none']
"[('Color', 'Black Brindle/White')]",[1.18591828 0.91148913],281,['Adoption' 'none']
"[('Color', 'Orange')]",[1.26448076 1.60506143],198,['Transfer' 'Partner']
"[('Color', 'Orange/White')]",[1.33193173 1.5720552 ],219,['Transfer' 'Partner']
"[('Color', 'White/Brown Brindle')]",[1.17332093 1.02177626],542,['Adoption' 'none']
"[('Color', 'Red/Tan')]",[1.33927029 0.97643616],99,['Adoption' 'none']
"[('Color', 'Chocolate Point')]",[1.11522618 1.46878646],82,['Adoption' 'none']
"[('Color', 'Tortie/White')]",[0.91974786 1.37343294],150,['Adoption' 'none']
"[('Color', 'Red Tick')]",[0.98167527 0.9946213 ],119,['Adoption' 'none']
"[('Color', 'Sable/Black')]",[1.00689593 1.05345425],56,['Adoption' 'none']
"[('Color', 'Brown Brindle/Black')]",[1.26257165 1.15089736],100,['Adoption' 'none']
"[('Color', 'Tan/Brown')]",[1.33769774 1.06458164],184,['Adoption' 'none']
"[('Color', 'Black/Black')]",[1.31465674 1.5138064 ],211,['Transfer' 'none']
"[('Color', 'Tortie Point')]",[1.01730096 1.37472008],152,['Adoption' 'none']
"[('Color', 'White/Orange')]",[1.24735209 1.40986864],150,['Adoption' 'none']
"[('Color', 'White/Red')]",[1.21003277 1.11475478],289,['Adoption' 'none']
"[('Color', 'Yellow Brindle/White')]",[1.02898516 0.92316788],75,['Adoption' 'none']
"[('Color', 'Blue Merle')]",[1.11546341 0.98149008],284,['Adoption' 'none']
"[('Color', 'Black/Brown Brindle')]",[0.9859888  0.99230987],173,['Adoption' 'none']
"[('Color', 'White/Chocolate')]",[1.19444327 1.13232999],161,['Adoption' 'none']
"[('Color', 'Black Brindle')]",[1.07612485 0.92905534],157,['Adoption' 'none']
"[('Color', 'Brown Tabby/Black')]",[1.16420048 1.3059344 ],85,['Transfer' 'Partner']
"[('Color', 'Black/Gray')]",[1.43943245 1.49429524],611,['Euthanasia' 'none']
"[('Color', 'Red/Black')]",[1.23881995 1.1065781 ],281,['Adoption' 'none']
"[('Color', 'Red/Brown')]",[1.50058723 1.16095085],69,['Adoption' 'none']
"[('Color', 'Brown/Tricolor')]",[1.01592153 0.91511856],168,['Adoption' 'none']
"[('Color', 'Gold/White')]",[1.22536352 1.09016115],80,['Adoption' 'none']
"[('Color', 'Tricolor/Brown')]",[1.14929137 0.97233636],81,['Adoption' 'none']
"[('Color', 'Red Merle')]",[1.13930133 0.9738471 ],75,['Adoption' 'none']
"[('Color', 'Lynx Point/White')]",[1.06537949 1.38138984],95,['Adoption' 'none']
"[('Color', 'Tan/Cream')]",[0.99619346 0.78275902],74,['Adoption' 'none']
"[('Color', 'Buff/White')]",[1.2088815  1.00477468],165,['Adoption' 'none']
"[('Color', 'Blue Merle/White')]",[1.04697279 0.93098024],228,['Adoption' 'none']
"[('Color', 'Black Tabby/White')]",[0.93626657 1.31350915],83,['Adoption' 'Partner']
"[('Color', 'Gray/Tan')]",[1.28947843 1.09672443],60,['Adoption' 'none']
"[('Color', 'Red Tick/White')]",[1.04067942 1.00642702],60,['Adoption' 'none']
"[('Color', 'Blue Merle/Tan')]",[1.06241335 0.6644838 ],61,['Adoption' 'none']
"[('Color', 'Gray/Brown')]",[1.59195072 1.32575126],58,['Euthanasia' 'none']
"[('Color', 'Tricolor/Black')]",[1.13943248 0.9574842 ],79,['Adoption' 'none']
"[('Color', 'White/Blue Tabby')]",[1.00485772 1.55813534],119,['Adoption' 'none']
"[('Color', 'Silver')]",[1.27544883 0.92984764],69,['Adoption' 'none']
"[('Color', 'Yellow/White')]",[1.06142692 0.94082853],177,['Adoption' 'none']
"[('Color', 'White/Blue Merle')]",[1.17497845 0.79708622],67,['Adoption' 'none']
"[('Color', 'Blue Cream')]",[1.16250488 1.54891674],90,['Adoption' 'none']
"[('Color', 'Blue/Tan')]",[1.26512811 0.95495009],136,['Adoption' 'none']
"[('Color', 'Brown Merle')]",[1.04451608 0.91426378],150,['Adoption' 'none']
"[('Color', 'Black Smoke/White')]",[1.03973286 1.10342571],57,['Adoption' 'none']
"[('Color', 'Brown Merle/White')]",[1.06954617 0.84156337],156,['Adoption' 'none']
"[('Color', 'Tricolor/White')]",[0.97250299 0.87811811],150,['Adoption' 'none']
"[('Color', 'Tan/Tan')]",[1.18594475 1.02768741],52,['Adoption' 'none']
"[('Color', 'White/Cream Tabby')]",[0.96073517 1.31819979],54,['Adoption' 'none']
"[('Color', 'Blue Point')]",[1.10431122 1.49168183],100,['Adoption' 'none']
"[('Color', 'Red Merle/White')]",[1.09346991 0.84640289],58,['Adoption' 'none']
"[('Color', 'Apricot')]",[1.1595863  0.85264355],88,['Adoption' 'none']
"[('Color', 'Brown/Gray')]",[1.34378247 1.73651683],91,['Euthanasia' 'none']
"[('Color', 'Black/Cream')]",[1.18641962 0.93275523],58,['Adoption' 'none']
"[('Color', 'Cream/Black')]",[1.22296342 0.87592938],81,['Adoption' 'none']
"[('Color', 'Brown/Red')]",[1.17517196 1.31794007],60,['Euthanasia' 'none']
