,0,1,2,3,4,5,6,7,8,9
Majority Classifier,"(0.30983772819472616, 0.3125638406537283)","(0.30528476141611083, 0.3125638406537283)","(0.3316088980858769, 0.3125638406537283)","(0.3213736545361353, 0.3125638406537283)","(0.33042137718396714, 0.3125638406537283)","(0.3305996924654024, 0.3125638406537283)","(0.3444387493593029, 0.3125638406537283)","(0.3018575851393189, 0.3125638406537283)","(0.30559835644581407, 0.3125638406537283)","(0.3089058524173028, 0.3125638406537283)"
Nearest Neighbors,"(0.4951005673027334, 0.512087163772557)","(0.5110996386164172, 0.5001702417432754)","(0.5, 0.5066394279877426)","(0.4935467217346412, 0.505277494041539)","(0.5036045314109165, 0.5080013619339462)","(0.5146078933880062, 0.5008512087163772)","(0.5082304526748971, 0.49676540687776644)","(0.48297213622291024, 0.5090228123935989)","(0.4976958525345622, 0.5209397344228804)","(0.5092402464065708, 0.5073203949608444)"
Linear SVM,"(0.6040372670807453, 0.6183180115764385)","(0.5890552400619514, 0.6121893088185223)","(0.597753956100051, 0.6172965611167859)","(0.6148683531233867, 0.620360912495744)","(0.591165896250642, 0.6264896152536602)","(0.5969151670951157, 0.613210759278175)","(0.6222336592897582, 0.6145726932243786)","(0.6082474226804123, 0.6060606060606061)","(0.6031088082901555, 0.6115083418454205)","(0.5894413121476166, 0.6121893088185223)"
RBF SVM,"(0.4280593958013313, 0.43922369765066394)","(0.42291880781089414, 0.4450119169220293)","(0.4332988624612203, 0.4419475655430712)","(0.4250907205806117, 0.4446714334354784)","(0.44513137557959814, 0.4371807967313585)","(0.44296675191815854, 0.4402451481103167)","(0.4424552429667519, 0.42866870956758596)","(0.43638221768012264, 0.44262853251617296)","(0.44644696189495364, 0.4436499829758257)","(0.4219712525667351, 0.4334354783792986)"
Decision Tree,"(0.5358606557377049, 0.5348995573714674)","(0.521694742215416, 0.5236636023152877)","(0.5405544147843943, 0.5348995573714674)","(0.5341902313624679, 0.5127681307456589)","(0.5285714285714286, 0.5284303711270003)","(0.5371985633658286, 0.529792305073204)","(0.5472662238119571, 0.5236636023152877)","(0.5161953727506426, 0.5263874702076949)","(0.5493606138107416, 0.5447735784814437)","(0.5195473251028807, 0.5165134490977188)"
Random Forest,"(0.5633729953440249, 0.5795028941096357)","(0.5783256291730868, 0.5648621041879469)","(0.5658713692946058, 0.5703098399727613)","(0.5761758691206544, 0.5600953353762342)","(0.5466666666666666, 0.5686074225400068)","(0.5528623001547189, 0.5635001702417433)","(0.5504308160162189, 0.5873340143003064)","(0.5910493827160493, 0.5607763023493361)","(0.5572835666148264, 0.5624787197820905)","(0.5427263479145473, 0.5624787197820905)"
Naive Bayes,"(0.029260780287474333, 0.02076949267960504)","(0.02081218274111675, 0.026217228464419477)","(0.024214322514167955, 0.02247191011235955)","(0.02666666666666667, 0.02417432754511406)","(0.020491803278688523, 0.023152877085461356)","(0.02193877551020408, 0.026217228464419477)","(0.026694045174537988, 0.02826012938372489)","(0.037225905150433454, 0.04664623765747361)","(0.033574380165289255, 0.03132448076268301)","(0.023529411764705882, 0.02519577800476677)"
LDA,"(0.5277207392197125, 0.5396663261831801)","(0.5202046035805626, 0.5468164794007491)","(0.5199795081967213, 0.5253660197480422)","(0.5307888040712468, 0.5430711610486891)","(0.5390904445579969, 0.5512427647259108)","(0.5046439628482973, 0.5440926115083419)","(0.5447570332480819, 0.5389853592100783)","(0.5408320493066255, 0.5440926115083419)","(0.5576725025746653, 0.5509022812393599)","(0.5595482546201233, 0.5393258426966292)"
