,0,1,2,3,4,5,6,7,8,9
Majority Classifier,"(0.323943661971831, 0.3125638406537283)","(0.31353591160220995, 0.3125638406537283)","(0.32770745428973275, 0.3125638406537283)","(0.3573446327683616, 0.3125638406537283)","(0.30196629213483145, 0.3125638406537283)","(0.3267882187938289, 0.3125638406537283)","(0.3291492329149233, 0.3125638406537283)","(0.3160112359550562, 0.3125638406537283)","(0.3300561797752809, 0.3125638406537283)","(0.29958391123439665, 0.3289070480081716)"
Nearest Neighbors,"(0.4731638418079096, 0.4742934967654069)","(0.5226960110041265, 0.47667688117126317)","(0.49719887955182074, 0.4868913857677903)","(0.46887966804979253, 0.4787197820905686)","(0.4945054945054945, 0.48484848484848486)","(0.47761194029850745, 0.47020769492679604)","(0.4693042291950887, 0.4783792986040177)","(0.4958100558659218, 0.4780388151174668)","(0.5166666666666667, 0.4759959141981614)","(0.4889807162534435, 0.48280558392917944)"
Linear SVM,"(0.5859697386519945, 0.6152536601974804)","(0.5804195804195804, 0.6179775280898876)","(0.6415620641562064, 0.6094654409261151)",,,,,,,
RBF SVM,,,,,,,,,,
Decision Tree,,,,,,,,,,
Random Forest,,,,,,,,,,
Naive Bayes,,,,,,,,,,
LDA,,,,,,,,,,
